"Step","23 - dims_best_member","23 - dims_best_member__MIN","23 - dims_best_member__MAX"
"261","27.2","10","54"
"262","27.2","10","54"
"263","27.2","10","54"
"264","27.2","10","54"
"265","27.2","10","54"
"266","27.2","10","54"
"267","27.2","10","54"
"268","27.2","10","54"
"269","27.4","11","54"
"270","27.4","11","54"
"271","27.4","11","54"
"272","27.4","11","54"
"273","27.4","11","54"
"274","27.4","11","54"
"275","27.2","11","54"
"276","27.2","11","54"
"277","27.2","11","54"
"278","27.2","11","54"
"279","27.2","11","54"
"280","27.2","11","54"
"281","27.2","11","54"
"282","27.2","11","54"
"283","27.2","11","54"
"284","27.2","11","54"
"285","27.6","11","54"
"286","27.6","11","54"
"287","27.6","11","54"
"288","27.6","11","54"
"289","27.6","11","54"
"290","27.6","11","54"
"291","27.6","11","54"
"292","27.6","11","54"
"293","27.6","11","54"
"294","27.6","11","54"
"295","27.6","11","54"
"296","27.6","11","54"
"297","27.4","11","54"
"298","27.4","11","54"
"299","27.4","11","54"
"300","27.2","11","54"
"301","27.2","11","54"
"302","27.2","11","54"
"303","27.2","11","54"
"304","27.6","11","54"
"305","27.6","11","54"
"306","27.6","11","54"
"307","27.6","11","54"
"308","27.6","11","54"
"309","27.6","11","54"
"310","27.6","11","54"
"311","27.6","11","54"
"312","27.6","11","54"
"313","27.6","11","54"
"314","27.6","11","54"
"315","27.6","11","54"
"316","27.6","11","54"
"317","27.6","11","54"
"318","20","9","54"
"319","20.2","9","54"
"320","20.2","9","54"
"321","20.4","10","54"
"322","20.4","10","54"
"323","20.6","11","54"
"324","20.6","11","54"
"325","20.6","11","54"
"326","20.8","11","54"
"327","20.8","11","54"
"328","21","11","54"
"329","21","11","54"
"330","21","11","54"
"331","36.6","11","91"
"332","36.6","11","91"
"333","20.8","11","54"
"334","20.8","11","54"
"335","20.8","11","54"
"336","20.8","11","54"
"337","20.8","11","54"
"338","20.8","11","54"
"339","20.8","11","54"
"340","20.8","11","54"
"341","20.8","11","54"
"342","20.8","11","54"
"343","20.8","11","54"
"344","20.8","11","54"
"345","20.8","11","54"
"346","20.8","11","54"
"347","20.8","11","54"
"348","20.8","11","54"
"349","20.8","11","54"
"350","20.8","11","54"
"351","20.8","11","54"
"352","21","11","54"
"353","21","11","54"
"354","21","11","54"
"355","21","11","54"
"356","21","11","54"
"357","21.2","11","54"
"358","21.2","11","54"
"359","21.2","11","54"
"360","21.4","11","54"
"361","21.4","11","54"
"362","21.4","11","54"
"363","21.4","11","54"
"364","21.4","11","54"
"365","21.4","11","54"
"366","21.4","11","54"
"367","21.4","11","54"
"368","21.4","11","54"
"369","21.4","11","54"
"370","21.4","11","54"
"371","21.4","11","54"
"372","21.4","11","54"
"373","21.4","11","54"
"374","21.4","11","54"
"375","21.4","11","54"
"376","21.4","11","54"
"377","21.4","11","54"
"378","21.4","11","54"
"379","21.4","11","54"
"380","21.4","11","54"
"381","21.4","11","54"
"382","21.6","11","54"
"383","21.6","11","54"
"384","21.6","11","54"
"385","21.6","11","54"
"386","21.6","11","54"
"387","21.6","11","54"
"388","21.6","11","54"
"389","21.6","11","54"
"390","21.6","11","54"
"391","21.6","11","54"
"392","21.6","11","54"
"393","20.6","9","54"
"394","20.8","10","54"
"395","20.8","10","54"
"396","20.8","10","54"
"397","20.8","10","54"
"398","20.8","10","54"
"399","20.8","10","54"
"400","20.8","10","54"
"401","21","11","54"
"402","21","11","54"
"403","21","11","54"
"404","21","11","54"
"405","21","11","54"
"406","21","11","54"
"407","21","11","54"
"408","21","11","54"
"409","21","11","54"
"410","21","11","54"
"411","21","11","54"
"412","21","11","54"
"413","21","11","54"
"414","20.6","9","54"
"415","20.6","9","54"
"416","20.6","9","54"
"417","20.6","9","54"
"418","20.8","9","54"
"419","20.8","9","54"
"420","20.8","9","54"
"421","20.8","9","54"
"422","20.8","9","54"
"423","20.8","9","54"
"424","20.8","9","54"
"425","20.8","9","54"
"426","20.8","9","54"
"427","20.8","9","54"
"428","20.8","9","54"
"429","20.8","9","54"
"430","20.8","9","54"
"431","20.8","9","54"
"432","20.8","9","54"
"433","20.8","9","54"
"434","20.8","9","54"
"435","20.8","9","54"
"436","20.8","9","54"
"437","20.8","9","54"
"438","20.8","9","54"
"439","20.8","9","54"
"440","20.8","9","54"
"441","20.8","9","54"
"442","20.8","9","54"
"443","20.8","9","54"
"444","20.8","9","54"
"445","20.8","9","54"
"446","20.8","9","54"
"447","20.8","9","54"
"448","20.8","9","54"
"449","20.8","9","54"
"450","20.8","9","54"
"451","20.8","9","54"
"452","20.8","9","54"
"453","20.8","9","54"
"454","20.8","9","54"
"455","20.8","9","54"
"456","20.8","9","54"
"457","20.8","9","54"
"458","20.8","9","54"
"459","20.8","9","54"
"460","20.8","9","54"
"461","20.8","9","54"
"462","20.8","9","54"
"463","20.8","9","54"
"464","20.8","9","54"
"465","20.8","9","54"
"466","20.8","9","54"
"467","20.8","9","54"
"468","20.8","9","54"
"469","20.8","9","54"
"470","20.8","9","54"
"471","20.8","9","54"
"472","20.8","9","54"
"473","20.8","9","54"
"474","21","9","54"
"475","21","9","54"
"476","21","9","54"
"477","21","9","54"
"478","21","9","54"
"479","20.8","9","54"
"480","20.8","9","54"
"481","20.8","9","54"
"482","20.8","9","54"
"483","20.8","9","54"
"484","20.8","9","54"
"485","20.8","9","54"
"486","20.8","9","54"
"487","20.8","9","54"
"488","20.8","9","54"
"489","20.8","9","54"
"490","20.8","9","54"
"491","20.8","9","54"
"492","20.8","9","54"
"493","20.8","9","54"
"494","20.8","9","54"
"495","20.8","9","54"
"496","37.2","11","91"
"497","37.2","11","91"
"498","37.2","11","91"
"499","37.2","11","91"
"500","37.2","11","91"
"501","37.2","11","91"
"502","37.2","11","91"
"503","37.2","11","91"
"504","37.2","11","91"
"505","37.2","11","91"
"506","37.2","11","91"
"507","37.2","11","91"
"508","37.2","11","91"
"509","37.2","11","91"
"510","37.2","11","91"
"511","43.25","11","91"
"512","43.25","11","91"
"513","43.25","11","91"
"514","43.25","11","91"
"515","43.25","11","91"
"516","43.25","11","91"
"517","43.25","11","91"
"518","43.25","11","91"
"519","43.25","11","91"
"520","43.25","11","91"
"521","43.25","11","91"
"522","43.25","11","91"
"523","43.25","11","91"
"524","43.25","11","91"
"525","43.25","11","91"
"526","43.25","11","91"
"527","43.25","11","91"
"528","43.25","11","91"
"529","43.25","11","91"
"530","44","14","91"
"531","44","14","91"
"532","44","14","91"
"533","44","14","91"
"534","44","14","91"
"535","44","14","91"
"536","44","14","91"
"537","44","14","91"
"538","44","14","91"
"539","44","14","91"
"540","44","14","91"
"541","44","14","91"
"542","44","14","91"
"543","44","14","91"
"544","44","14","91"
"545","44","14","91"
"546","43.75","13","91"
"547","43.75","13","91"
"548","43.75","13","91"
"549","43.75","13","91"
"550","43.75","13","91"
"551","43.75","13","91"
"552","43.75","13","91"
"553","40.333333333333336","13","91"
"554","40.333333333333336","13","91"
"555","14.666666666666666","13","17"
"556","14.666666666666666","13","17"
"557","14.666666666666666","13","17"
"558","14.666666666666666","13","17"
"559","14.666666666666666","13","17"
"560","14.666666666666666","13","17"
"561","14.666666666666666","13","17"
"562","14.666666666666666","13","17"
"563","14.666666666666666","13","17"
"564","14.666666666666666","13","17"
"565","14.666666666666666","13","17"
"566","14.666666666666666","13","17"
"567","14.666666666666666","13","17"
"568","14.666666666666666","13","17"
"569","14.666666666666666","13","17"
"570","14.666666666666666","13","17"
"571","14.666666666666666","13","17"
"572","14.666666666666666","13","17"
"573","14.666666666666666","13","17"
"574","14.666666666666666","13","17"
"575","14.666666666666666","13","17"
"576","14.666666666666666","13","17"
"577","15","14","17"
"578","13.333333333333334","9","17"
"579","13.666666666666666","10","17"
"580","13.666666666666666","10","17"
"581","13.666666666666666","10","17"
"582","14","11","17"
"583","14","11","17"
"584","13.333333333333334","9","17"
"585","13.333333333333334","9","17"
"586","13","8","17"
"587","13","8","17"
"588","13","8","17"
"589","13","8","17"
"590","13","8","17"
"591","13","8","17"
"592","13.666666666666666","10","17"
"593","13.666666666666666","10","17"
"594","13.666666666666666","10","17"
"595","13.666666666666666","10","17"
"596","13.666666666666666","10","17"
"597","13","8","17"
"598","13","8","17"
"599","13","8","17"
"600","13","8","17"
"601","13","8","17"
"602","13.333333333333334","9","17"
"603","13.333333333333334","9","17"
"604","13.333333333333334","9","17"
"605","13.333333333333334","9","17"
"606","13.333333333333334","9","17"
"607","13.333333333333334","9","17"
"608","13.333333333333334","9","17"
"609","13.333333333333334","9","17"
"610","13.333333333333334","9","17"
"611","13.333333333333334","9","17"
"612","13.333333333333334","9","17"
"613","13.333333333333334","9","17"
"614","13.333333333333334","9","17"
"615","13.333333333333334","9","17"
"616","13.333333333333334","9","17"
"617","13.333333333333334","9","17"
"618","13.333333333333334","9","17"
"619","13.333333333333334","9","17"
"620","13.333333333333334","9","17"
"621","13.333333333333334","9","17"
"622","13.333333333333334","9","17"
"623","13.333333333333334","9","17"
"624","13.333333333333334","9","17"
"625","13.333333333333334","9","17"
"626","13.333333333333334","9","17"
"627","13.333333333333334","9","17"
"628","13.333333333333334","9","17"
"629","13.333333333333334","9","17"
"630","13.333333333333334","9","17"
"631","13.333333333333334","9","17"
"632","13.333333333333334","9","17"
"633","13.333333333333334","9","17"
"634","13.333333333333334","9","17"
"635","13.333333333333334","9","17"
"636","13.333333333333334","9","17"
"637","13.333333333333334","9","17"
"638","14","9","17"
"639","14","9","17"
"640","13.666666666666666","8","17"
"641","13.666666666666666","8","17"
"642","13.666666666666666","8","17"
"643","13.666666666666666","8","17"
"644","13.666666666666666","8","17"
"645","13.666666666666666","8","17"
"646","13.666666666666666","8","17"
"647","13.666666666666666","8","17"
"648","13.666666666666666","8","17"
"649","13.666666666666666","8","17"
"650","13.666666666666666","8","17"
"651","13.666666666666666","8","17"
"652","13.666666666666666","8","17"
"653","13.666666666666666","8","17"
"654","13.666666666666666","8","17"
"655","13.666666666666666","8","17"
"656","13.666666666666666","8","17"
"657","13.666666666666666","8","17"
"658","13.666666666666666","8","17"
"659","13.666666666666666","8","17"
"660","13.666666666666666","8","17"
"661","13.666666666666666","8","17"
"662","13.666666666666666","8","17"
"663","13.666666666666666","8","17"
"664","13.666666666666666","8","17"
"665","13.666666666666666","8","17"
"666","13.666666666666666","8","17"
"667","13.666666666666666","8","17"
"668","13.666666666666666","8","17"
"669","13.666666666666666","8","17"
"670","13.666666666666666","8","17"
"671","14","9","17"
"672","14","9","17"
"673","14","9","17"
"674","14","9","17"
"675","14","9","17"
"676","14","9","17"
"677","14","9","17"
"678","14","9","17"
"679","14","9","17"
"680","13.666666666666666","8","17"
"681","13.666666666666666","8","17"
"682","13.666666666666666","8","17"
"683","13.666666666666666","8","17"
"684","13.666666666666666","8","17"
"685","13.666666666666666","8","17"
"686","13.666666666666666","8","17"
"687","13.666666666666666","8","17"
"688","13.666666666666666","8","17"
"689","13.666666666666666","8","17"
"690","13.666666666666666","8","17"
"691","13.666666666666666","8","17"
"692","13.666666666666666","8","17"
"693","13.666666666666666","8","17"
"694","13.666666666666666","8","17"
"695","13.666666666666666","8","17"
"696","13.666666666666666","8","17"
"697","13.666666666666666","8","17"
"698","13.666666666666666","8","17"
"699","13.666666666666666","8","17"
"700","13.666666666666666","8","17"
"701","13.666666666666666","8","17"
"702","13.666666666666666","8","17"
"703","13.666666666666666","8","17"
"704","13.666666666666666","8","17"
"705","13.666666666666666","8","17"
"706","13.666666666666666","8","17"
