"Name","first_best_fitness","final_best_fitness","first_test_score","final_test_score"
"54","0.8074367334264867","0.8516845210371061","0.8714285714285714","0.85"
"54","0.8074367334264867","0.8569632044713554","0.8714285714285714","0.8392857142857143"
"54","0.8074367334264867","0.8587331159757801","0.8714285714285714","0.8428571428571429"
"54","0.8074367334264867","0.8480825958702065","0.8714285714285714","0.8214285714285714"
"54","0.8074367334264867","0.8622418879056045","0.8714285714285714","0.8428571428571429"
"50","0.9157097868217056","0.9859496124031008","0.9242902208201892","0.9747634069400632"
"50","0.9157097868217056","0.9750605620155038","0.9242902208201892","0.9621451104100948"
"50","0.9157097868217056","0.9765988372093024","0.9242902208201892","0.9905362776025236"
"50","0.9157097868217056","0.9953125","0.9242902208201892","0.9936908517350158"
"50","0.9157097868217056","0.9875121124031008","0.9242902208201892","0.9621451104100948"
"469","0.19319344031035088","0.23073532004937403","0.22348484848484848","0.20075757575757577"
"458","0.9982300884955752","1","0.9964028776978416","0.9964028776978416"
"458","0.9982300884955752","1","0.9964028776978416","0.9964028776978416"
"458","0.9982300884955752","1","0.9964028776978416","0.9820143884892086"
"31","0.7701492537313432","0.8194029850746268","0.7545454545454545","0.7515151515151515"
"31","0.7701492537313432","0.7880597014925372","0.7545454545454545","0.7575757575757576"
"31","0.7701492537313432","0.7970149253731342","0.7545454545454545","0.7606060606060606"
"31","0.7701492537313432","0.8059701492537314","0.7545454545454545","0.7545454545454545"
"31","0.7701492537313432","0.7970149253731345","0.7545454545454545","0.7424242424242424"
"23","0.5304312157104035","0.5811362354509562","0.5975359342915811","0.5708418891170431"
"22","0.8365671641791044","0.8514925373134329","0.8090909090909091","0.8"
"22","0.8365671641791044","0.85","0.8090909090909091","0.8045454545454546"
"22","0.8365671641791044","0.8492537313432835","0.8090909090909091","0.8166666666666667"
"22","0.8365671641791044","0.8492537313432835","0.8090909090909091","0.8090909090909091"
"22","0.8365671641791044","0.85","0.8090909090909091","0.8090909090909091"
"18","0.744776119402985","0.7634328358208954","0.7348484848484849","0.7257575757575757"
"18","0.744776119402985","0.7649253731343284","0.7348484848484849","0.7242424242424242"
"16","0.9611940298507464","0.9738805970149256","0.9666666666666668","0.9696969696969696"
"16","0.9611940298507464","0.978358208955224","0.9666666666666668","0.9757575757575756"
"16","0.9611940298507464","0.974626865671642","0.9666666666666668","0.9757575757575756"
"16","0.9611940298507464","0.9761194029850748","0.9666666666666668","0.9742424242424242"
"1510","0.9737525632262476","0.9921052631578948","0.9840425531914894","0.9787234042553192"
"1510","0.9737525632262476","0.9894736842105264","0.9840425531914894","0.9840425531914894"
"15","0.9679249599633952","0.9743536948066804","0.974025974025974","0.974025974025974"
"14","0.8186567164179104","0.867910447761194","0.8333333333333334","0.8469696969696969"
"11","0.9856855995410212","1","0.9806763285024156","0.9951690821256038"
"11","0.9856855995410212","1","0.9806763285024156","1"
"11","0.9856855995410212","0.9952380952380953","0.9806763285024156","1"
"11","0.9856855995410212","1","0.9806763285024156","1"
"11","0.9856855995410212","1","0.9806763285024156","1"
