"Step","23 - average fitness","23 - average fitness__MIN","23 - average fitness__MAX"
"0","0.5304312157104035","0.5304312157104035","0.5304312157104035"
"1","0.5303097992046807","0.5287548069527764","0.5311408501256217"
"2","0.5276494865665762","0.5150069220119982","0.5335186528079932"
"3","0.5259633040785748","0.5006725461040181","0.5369982054042968"
"4","0.5278818745020099","0.504923784619216","0.5418007119783769"
"5","0.5303012497663718","0.5068412551915089","0.5464892911429672"
"6","0.5345776057241548","0.5088994855492318","0.5520294012082606"
"7","0.5322083364871012","0.5035481720760908","0.5506400724674836"
"8","0.5382870946071265","0.5270544275239707","0.5517835786871318"
"9","0.5376129183027223","0.526024303953238","0.5537297905585375"
"10","0.5375317453521259","0.5272306824591088","0.5550566185083952"
"11","0.5390292640278996","0.5281361841767933","0.557609213967082"
"12","0.5378684470918359","0.5271923550223043","0.557837255806799"
"13","0.5375503533623811","0.526446928392783","0.5588021867209685"
"14","0.5399368139770054","0.5260533764036301","0.5603951040499264"
"15","0.5424163759382701","0.5238131662727878","0.5619647038428764"
"16","0.5412733572193208","0.5243130544018869","0.5624707309986497"
"17","0.5411341026795059","0.5246975416010949","0.5636303816506862"
"18","0.539713155761183","0.5245558192512508","0.5641149224905571"
"19","0.5393142897024268","0.5241694781999352","0.5646231471104567"
"20","0.5368294234209894","0.5181350305081269","0.5655911300581351"
"21","0.5364063774384128","0.5201752436947022","0.5659292953709197"
"22","0.5359880663355275","0.5219084243449725","0.5661702839367814"
"23","0.5382066772684196","0.5233820977609384","0.5663628062105219"
"24","0.5414956608804671","0.5230796544121418","0.5664121270720256"
"25","0.5401717771247778","0.5226419622866323","0.5666783864753407"
"26","0.5404453313345536","0.5225114551141317","0.5669713816921939"
"27","0.5375538494485629","0.5209387141432336","0.5681315206695917"
"28","0.5377196567584753","0.5217465789576867","0.5686395011268108"
"29","0.5346226890272728","0.519488062127656","0.5692190212494781"
"30","0.5346538752556652","0.5174182177100959","0.5692190212494781"
"31","0.5347991088348168","0.5186325538468143","0.5698459089322034"
"32","0.5349524272128048","0.5194895322681683","0.5705207745816884"
"33","0.5399261744291095","0.5179433410035296","0.5710996842976539"
"34","0.5378252439659327","0.5153272277637759","0.5710996842976539"
"35","0.5363453859252397","0.5162426293390759","0.5720155385130005"
"36","0.53587061748236","0.5165737543472534","0.5732213359116911"
"37","0.5355552141401985","0.5165070022854827","0.5737531222302796"
"38","0.536299560446814","0.5148771182638567","0.5747203726899159"
"39","0.536195176436434","0.5156338749262457","0.5750348542226714"
"40","0.5349376254492239","0.5164409871008857","0.5754216079089174"
"41","0.5341817152923435","0.5142229611320772","0.5760491059983446"
"42","0.5392715743751009","0.5150889741659178","0.5762424828414675"
"43","0.5389042419270096","0.5136550884414408","0.5763153654016597"
"44","0.536628935770627","0.5130693464295049","0.5764127863112634"
"45","0.5364865328847981","0.5121907640151891","0.5766068956424285"
"46","0.5362745816700027","0.5128472076556986","0.5766800223653015"
"47","0.5364585471652005","0.5123455788430407","0.5766800223653015"
"48","0.5365557257605866","0.5124042564100886","0.5766800223653015"
"49","0.5365284379196579","0.5128357202249085","0.5766800223653015"
"50","0.5343706085244858","0.5134141926883042","0.5766800223653015"
"51","0.5348953848867517","0.5166766366427957","0.5766800223653015"
"52","0.5353569096175294","0.5187116084704918","0.5767037061453304"
"53","0.5394705882216154","0.5182282683878043","0.5767037061453304"
"54","0.5394933031530663","0.5179750910116393","0.5767516841120901"
"55","0.541640805895961","0.5282710196877248","0.5767516841120901"
"56","0.5418156739925297","0.5282024244504934","0.5767516841120901"
"57","0.5412614701523332","0.5280133540708837","0.5767516841120901"
"58","0.5421132010305094","0.5278658667897248","0.5767516841120901"
"59","0.5422439977769926","0.5269109814795094","0.5767516841120901"
"60","0.5422593098814805","0.527191511530673","0.5767996620788498"
"61","0.542726071150929","0.5259785429836191","0.5767996620788498"
"62","0.5424952689972529","0.5261085680305005","0.5767996620788498"
"63","0.5430386993956479","0.5252718954918617","0.5767996620788498"
"64","0.5430319234795299","0.5249792284506548","0.5767996620788498"
"65","0.5431395332748972","0.5251385470611359","0.5767996620788498"
"66","0.543478934278097","0.5254521837355248","0.5767996620788498"
"67","0.5453595150357912","0.5252325283289749","0.5767996620788498"
"68","0.5456641974638392","0.5253143558607876","0.5767996620788498"
"69","0.5459467246601951","0.5255100793171859","0.5767996620788498"
"70","0.5463792960113452","0.5248374947637471","0.5767996620788498"
"71","0.5466190053601221","0.5247722572595669","0.5767996620788498"
"72","0.5464607198717516","0.5249121580362927","0.5767996620788498"
"73","0.5472121306805894","0.5250650083137393","0.5767996620788498"
"74","0.5469920320287673","0.5253545338503928","0.5767996620788498"
"75","0.547297248649388","0.5253368624102038","0.5767996620788498"
"76","0.5461752222408034","0.5253373448847939","0.5767996620788498"
"77","0.5467209023170126","0.5255235946606505","0.5767996620788498"
"78","0.5482403024045001","0.5256369133626352","0.5767996620788498"
"79","0.5478405651890123","0.5257305327716331","0.5767996620788498"
"80","0.5474158588508989","0.5257891134371676","0.5767996620788498"
"81","0.5467762611152382","0.5259246974824385","0.5767996620788498"
"82","0.5468927530316218","0.5259938707654442","0.5767996620788498"
"83","0.5494439994878388","0.5261074053875161","0.5767996620788498"
"84","0.5493201335476439","0.5262020921389056","0.5768476400456095"
"85","0.5463689506865459","0.5262793657687656","0.5768476400456095"
"86","0.5468716140233392","0.5264422344537107","0.5768476400456095"
"87","0.5469404301047702","0.525948315643747","0.5768476400456095"
"88","0.5496645831264757","0.5259830015317253","0.5768476400456095"
"89","0.5460133561055727","0.5252134287032764","0.5768476400456095"
"90","0.5464825970206333","0.5253125089993179","0.5768476400456095"
"91","0.5468109726400758","0.5252170490749171","0.5768476400456095"
"92","0.5470602561043993","0.5253810524876514","0.5768476400456095"
"93","0.5497970670714916","0.5254472996057287","0.5768956180123693"
"94","0.549358885388745","0.5255118260194401","0.5768956180123693"
"95","0.5485352475892393","0.5256398423911114","0.5768956180123693"
"96","0.548513096869155","0.5257772741227088","0.5768956180123693"
"97","0.548857939554775","0.5257847510639388","0.5768956180123693"
"98","0.550147647741442","0.5258797158778357","0.5768956180123693"
"99","0.5500261608759318","0.5259846827817609","0.5768956180123693"
"100","0.5504120563759798","0.5260259002476604","0.5769435959791289"
"101","0.5506099682798409","0.5261022724220693","0.5769435959791289"
"102","0.5502548739538885","0.5260934818474381","0.5770399181566693"
"103","0.5511761901184637","0.5255658342365932","0.5770399181566693"
"104","0.5490431398794143","0.5255632938286534","0.5770399181566693"
"105","0.5508817366305176","0.5256071909682892","0.5770399181566693"
"106","0.5482448667242579","0.5256501016553489","0.5770399181566693"
"107","0.5483349452953514","0.5257705652121896","0.5770399181566693"
"108","0.5500090914913249","0.5258215557707944","0.5770399181566693"
"109","0.5473756074986691","0.525849702052527","0.577087896123429"
"110","0.547955668209066","0.525887773538011","0.5771358740901888"
"111","0.5478965839764218","0.5256879192617393","0.5771358740901888"
"112","0.5452064962179843","0.5256632582841506","0.5771358740901888"
"113","0.5503885493157026","0.5255860743646276","0.5771358740901888"
"114","0.5470045556130974","0.525531678710809","0.5771358740901888"
"115","0.5443958883089126","0.5225708865302774","0.5771358740901888"
"116","0.5462168585502646","0.5256409658809289","0.5771358740901888"
"117","0.5470778916389746","0.5256889196533866","0.5771358740901888"
"118","0.5523583130478663","0.5257258213130958","0.5771358740901888"
"119","0.5521433552671573","0.525741992433542","0.5771358740901888"
"120","0.5502840652211802","0.5258363039990361","0.5771358740901888"
"121","0.5489733194508253","0.5259096726736321","0.5771358740901888"
"122","0.5493843666693456","0.5259816438496641","0.5771358740901888"
"123","0.5524583853565752","0.5259758295530731","0.5771358740901888"
"124","0.551853083108033","0.5260364928280864","0.5771838520569484"
"125","0.5520279444188074","0.5260397260820272","0.5771838520569484"
